iter	Passed	Remaining
0	2	203
1	4	229
2	6	212
3	8	196
4	9	182
5	11	175
6	12	168
7	14	164
8	15	159
9	17	155
10	19	154
11	21	155
12	22	151
13	24	149
14	25	145
15	27	142
16	29	145
17	32	145
18	33	142
19	34	139
20	36	137
21	37	134
22	39	131
23	41	131
24	43	131
25	45	129
26	46	126
27	48	124
28	49	121
29	51	120
30	53	118
31	54	116
32	58	118
33	59	115
34	61	113
35	62	111
36	64	110
37	66	107
38	67	105
39	71	107
40	73	105
41	74	103
42	75	100
43	77	98
44	78	96
45	80	94
46	82	92
47	85	92
48	87	90
49	88	88
50	90	86
51	91	84
52	93	82
53	95	81
54	97	79
55	99	78
56	101	76
57	102	74
58	104	72
59	105	70
60	108	69
61	114	69
62	115	68
63	117	65
64	118	63
65	120	62
66	122	60
67	123	58
68	127	57
69	128	55
70	130	53
71	131	51
72	133	49
73	135	47
74	136	45
75	138	43
76	142	42
77	143	40
78	145	38
79	146	36
80	148	34
81	149	32
82	151	30
83	153	29
84	156	27
85	158	25
86	159	23
87	161	21
88	162	20
89	164	18
90	165	16
91	167	14
92	168	12
93	170	10
94	172	9
95	173	7
96	174	5
97	176	3
98	177	1
99	179	0
	0
